Time Series ID	Fly ID	Fly Genotype 	Age	Sex	Stimulus 	Frames (imaging)	Rotation	Z-depth	Layer 	Imaging Frame Rate (Hz)	Wavelength	Transmission (%)	Gain	Offset 	Color Filter 	ND	Dither Hold	isMoving?	isResponding?	comments
161204_fly7_LDM_040	7	21Dhh-ASAP2f_lexAopTNT	6	F	300ms_searchStimFlash	5000	20	12013.94	2	80	920	8	95	75	482/18	1.3	0	0	1	all cells responding
161204_fly7_LDM_041	7	21Dhh-ASAP2f_lexAopTNT	6	F	fullfield_LDflash20ms_Gray500ms	10000	20	12013.94	2	80	920	9	95	75	482/18	1.3	0	0		
161204_fly7_LDM_042	7	21Dhh-ASAP2f_lexAopTNT	6	F	300ms_searchStimFlash	5000	20	12013	2	80	920	9	95	75	482/18	1.3	0	0	1	all cells responding
161204_fly7_LDM_043	7	21Dhh-ASAP2f_lexAopTNT	6	F	fullfield_LDflash20ms_Gray500ms	10000	20	12013	2	80	920	11	95	75	482/18	1.3	0	0		mild movement
161204_fly7_LDM_044	7	21Dhh-ASAP2f_lexAopTNT	6	F	300ms_searchStimFlash	5000	24	12018.42	2	80	920	12	95	75	482/18	1.3	0	0	1	some cells movement
161204_fly7_LDM_045	7	21Dhh-ASAP2f_lexAopTNT	6	F	fullfield_LDflash20ms_Gray500ms	10000	24	12018.42	2	80	920	12	95	75	482/18	1.3	0	0		some cells mild movement
161204_fly8_LDM_046	8	21Dhh-ASAP2f_ortC1-3lexA-lexAopTNT	5	F	300ms_searchStimFlash	5000	24	12021.24	2	80	920	8	95	75	482/18	1.3	0	0	1	mild movement
161204_fly8_LDM_047	8	21Dhh-ASAP2f_ortC1-3lexA-lexAopTNT	5	F	fullfield_LDflash20ms_Gray500ms	10000	24	12021.24	2	80	920	9	95	75	482/18	1.3	0	0		"moderate movement, some cells"
161204_fly8_LDM_048	8	21Dhh-ASAP2f_ortC1-3lexA-lexAopTNT	5	F	300ms_searchStimFlash	5000	22	12025.4	2	80	920	12	95	75	482/18	1.3	0	0	1	mild movement
161204_fly8_LDM_049	8	21Dhh-ASAP2f_ortC1-3lexA-lexAopTNT	5	F	fullfield_LDflash20ms_Gray500ms	10000	22	12025.4	2	80	920	13	95	75	482/18	1.3	0	0		mild movement
161204_fly8_LDM_050	8	21Dhh-ASAP2f_ortC1-3lexA-lexAopTNT	5	F	300ms_searchStimFlash	5000	20	12033.62	2	80	920	10	95	75	482/18	1.3	0	0		
161204_fly8_LDM_051	8	21Dhh-ASAP2f_ortC1-3lexA-lexAopTNT	5	F	fullfield_LDflash20ms_Gray500ms	10000	20	12033.62	2	80	920	10	95	75	482/18	1.3	0	0		mild movement
161204_fly9_LDM_052	9	21Dhh-ASAP2f_ortC1-3lexA	6	F	300ms_searchStimFlash	5000	23	12017.36	2	80	920	12	95	75	482/18	1.3	0	0	1	cells 1-4 responding
161204_fly9_LDM_053	9	21Dhh-ASAP2f_ortC1-3lexA	6	F	fullfield_LDflash20ms_Gray500ms	10000	23	12017.36	2	80	920	12	95	75	482/18	1.3	0	0		mild movement
161204_fly9_LDM_054	9	21Dhh-ASAP2f_ortC1-3lexA	6	F	300ms_searchStimFlash	5000	20	12017.96	2	80	920	10	95	75	482/18	1.3	0	0	1	"cells 4, 5 responding"
161204_fly9_LDM_055	9	21Dhh-ASAP2f_ortC1-3lexA	6	F	fullfield_LDflash20ms_Gray500ms	10000	20	12017.96	2	80	920	10	95	75	482/18	1.3	0	0		some cells movement
161204_fly9_LDM_056	9	21Dhh-ASAP2f_ortC1-3lexA	6	F	300ms_searchStimFlash	5000	20	12027.82	2	80	920	12	95	75	482/18	1.3	0	0		
161204_fly9_LDM_057	9	21Dhh-ASAP2f_ortC1-3lexA	6	F	fullfield_LDflash20ms_Gray500ms	10000	20	12027.82	2	80	920	12	95	75	482/18	1.3	0	0		
161204_fly10_LDM_058	10	21Dhh-ASAP2f_ortC1-3lexA	5	F	300ms_searchStimFlash	5000	22	12020.35	2	80	920	9	95	75	482/18	1.3	0	0	1	all cells responding
161204_fly10_LDM_059	10	21Dhh-ASAP2f_ortC1-3lexA	5	F	fullfield_LDflash20ms_Gray500ms	10000	22	12020.35	2	80	920	11	95	75	482/18	1.3	0	0		
161204_fly10_LDM_060	10	21Dhh-ASAP2f_ortC1-3lexA	5	F	300ms_searchStimFlash	5000	22	12014.9	2	80	920	8	95	75	482/18	1.3	0	0	1	cells 1-5 responding
161204_fly10_LDM_061	10	21Dhh-ASAP2f_ortC1-3lexA	5	F	fullfield_LDflash20ms_Gray500ms	10000	22	12014.9	2	80	920	9	95	75	482/18	1.3	0	1		
161204_fly10_LDM_062	10	21Dhh-ASAP2f_ortC1-3lexA	5	F	300ms_searchStimFlash	5000	20	12022.23	2	80	920	10	95	75	482/18	1.3	0	0	1	cell 3 responding
161204_fly10_LDM_063	10	21Dhh-ASAP2f_ortC1-3lexA	5	F	fullfield_LDflash20ms_Gray500ms	10000	20	12022.23	2	80	920	10	95	75	482/18	1.3	0	0		
161205_fly1_LDM	11	21Dhh-ASAP2f_lexAopTNT	6	F	300ms_searchStimFlash	5000	24	12018.12	2	80	920	8	95	75	482/18	1.3	0	0	1	cells 2-7 responding
161205_fly1_LDM_001	11	21Dhh-ASAP2f_lexAopTNT	6	F	fullfield_LDflash20ms_Gray500ms	10000	24	12018.12	2	80	920	8	95	75	482/18	1.3	0	0		
161205_fly1_LDM_002	11	21Dhh-ASAP2f_lexAopTNT	6	F	300ms_searchStimFlash	5000	28	12021.65	2	80	920	9	95	75	482/18	1.3	0	0	1	cells 1-5 responding
161205_fly1_LDM_003	11	21Dhh-ASAP2f_lexAopTNT	6	F	fullfield_LDflash20ms_Gray500ms	10000	28	12021.65	2	80	920	9	95	75	482/18	1.3	0	0		mild movement
161205_fly1_LDM_004	11	21Dhh-ASAP2f_lexAopTNT	6	F	300ms_searchStimFlash	5000	28	12022.58	2	80	920	10	95	75	482/18	1.3	0	0	1	cells 3-5 responding
161205_fly1_LDM_005	11	21Dhh-ASAP2f_lexAopTNT	6	F	fullfield_LDflash20ms_Gray500ms	10000	28	12022.58	2	80	920	10	95	75	482/18	1.3	0	0		
161205_fly2_LDM_006	12	21Dhh-ASAP2f_ortC1-3lexA-lexAopTNT	5	F	300ms_searchStimFlash	5000	20	12017.29	2	80	920	10	95	75	482/18	1.3	0	0	1	"cells 3-6 responding, mild movement"
161205_fly2_LDM_007	12	21Dhh-ASAP2f_ortC1-3lexA-lexAopTNT	5	F	fullfield_LDflash20ms_Gray500ms	10000	20	12017.29	2	80	920	11	95	75	482/18	1.3	0	0		moderate movement
161205_fly2_LDM_008	12	21Dhh-ASAP2f_ortC1-3lexA-lexAopTNT	5	F	300ms_searchStimFlash	5000	20	12016.03	2	80	920	13	95	75	482/18	1.3	0	0	1	some cells movement
